 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Median,Skew,Kurt,%Area,AR,Round,Solidity
946,136,49492.037,16124.047,19201,65535,1173.875,1919.721,1174.167,1919.909,42.281,1166,1914,15,11,15.567,11.124,8.569,0.956,54728,-0.518,-1.255,100,1.399,0.715,0.975
947,124,51918.444,14615.632,21564,65535,1230.202,1920.879,1230.340,1921.006,40.820,1223,1915,14,11,14.641,10.784,170.296,0.935,57960,-0.643,-1.076,100,1.358,0.737,0.958
948,163,57072.656,11561.525,25889,65535,1004.390,1925.537,1004.532,1925.753,47.574,997,1917,14,16,18.029,11.511,53.695,0.905,63065,-1.283,0.426,100,1.566,0.638,0.959
949,153,44164.869,16660.197,14524,65535,839.513,1928.984,840.073,1929.519,58.647,831,1919,17,18,19.353,10.066,143.294,0.559,45977,-0.256,-1.330,100,1.923,0.520,0.765
950,213,56400.188,12041.656,21759,65535,1553.772,1928.876,1554.097,1928.907,56.291,1544,1921,20,17,22.838,11.875,37.356,0.845,63500,-1.184,0.165,100,1.923,0.520,0.991
951,56,41881.821,16673.649,15028,65500,892.375,1926.482,892.820,1926.471,26.801,888,1923,9,8,9.648,7.390,15.832,0.980,40333,-0.052,-1.344,100,1.306,0.766,0.974
952,74,47559.000,14766.332,18487,65535,1091.014,1930.959,1091.170,1931.235,32.276,1087,1925,8,12,12.857,7.329,68.611,0.893,49932,-0.424,-1.118,100,1.754,0.570,0.974
953,200,42256.345,11137.753,21036,65200,1712.755,1932.760,1712.599,1932.696,53.469,1702,1926,20,13,20.581,12.373,3.258,0.879,41284,0.235,-0.740,100,1.663,0.601,0.955
954,244,59509.598,8718.804,34303,65535,1844.984,1933.410,1845.082,1933.516,60.977,1833,1927,24,13,25.301,12.279,8.517,0.825,64953,-1.362,0.583,100,2.061,0.485,0.961
955,201,55336.204,12273.840,26404,65535,1871.291,1943.396,1871.443,1943.482,51.868,1862,1937,19,13,19.488,13.132,12.634,0.939,61893,-0.890,-0.656,100,1.484,0.674,0.976
956,174,55029.138,13693.418,22068,65535,821.948,1946.557,822.209,1946.719,47.984,814,1939,15,15,17.116,12.944,44.307,0.950,62862,-1.081,-0.230,100,1.322,0.756,0.967
957,156,51946.179,13971.616,17826,65535,1078.006,1948.263,1078.483,1948.256,55.667,1066,1941,22,14,25.009,7.942,26.151,0.633,57328,-0.792,-0.625,100,3.149,0.318,0.907
958,246,53284.943,9998.470,27736,65474,1211.870,1948.260,1211.979,1948.454,57.111,1202,1941,20,15,21.080,14.858,19.224,0.948,55295,-0.610,-0.715,100,1.419,0.705,0.988
959,156,54513.564,12872.264,22667,65535,1330.679,1951.000,1331.020,1951.057,48.449,1322,1943,16,15,19.521,10.175,45.124,0.835,61080,-0.941,-0.427,100,1.919,0.521,0.945
960,146,59624.795,9359.752,31302,65535,1525.322,1953.781,1525.344,1953.958,45.942,1515,1948,18,12,16.584,11.209,8.490,0.869,65380,-1.518,1.061,100,1.479,0.676,0.933
961,106,45203.660,14449.941,18115,65041,1180.500,1959.538,1180.735,1959.811,37.833,1173,1955,14,9,14.242,9.476,179.169,0.931,46573,-0.205,-1.299,100,1.503,0.665,0.964
962,122,50135.180,14023.730,21584,65535,1268.582,1958.566,1268.480,1958.732,45.462,1259,1955,19,7,20.271,7.663,178.694,0.742,55041,-0.557,-1.036,100,2.645,0.378,1.000
963,97,50950.773,12487.658,20765,65535,967.861,1961.531,967.872,1961.588,35.415,962,1957,12,9,12.846,9.614,6.226,0.972,52242,-0.574,-0.795,100,1.336,0.748,1.010
964,188,59567.128,9594.781,28182,65535,1518.356,1964.314,1518.634,1964.238,50.525,1509,1957,19,14,18.077,13.242,169.897,0.925,65283,-1.614,1.484,100,1.365,0.733,0.957
965,89,48184.011,15361.516,19644,65535,1350.174,1963.691,1350.347,1963.943,33.499,1344,1959,12,10,11.821,9.586,10.526,0.997,50069,-0.358,-1.304,100,1.233,0.811,0.952
966,404,39839.483,11278.873,20727,65497,1460.473,1968.376,1459.848,1968.673,77.479,1447,1959,28,19,30.624,16.797,21.004,0.846,37792,0.590,-0.668,100,1.823,0.548,0.972
967,162,55194.630,10756.476,30490,65535,1989.426,1966.290,1989.541,1966.394,48.493,1981,1959,16,16,17.332,11.901,45.673,0.866,59507,-0.780,-0.730,100,1.456,0.687,0.942
968,237,56658.354,10623.323,24552,65535,1059.829,1966.475,1059.846,1966.582,59.304,1048,1960,23,13,24.189,12.475,13.158,0.847,62387,-1.158,0.258,100,1.939,0.516,0.971
969,110,47810.864,15241.659,21001,65535,1744.436,1966.000,1744.660,1966.191,37.546,1738,1961,13,10,13.594,10.303,10.382,0.981,48271,-0.259,-1.420,100,1.319,0.758,1.000
970,93,45344.290,15490.365,19334,65535,1792.360,1982.339,1792.605,1982.535,35.514,1787,1976,10,13,13.169,8.992,84.795,0.927,44562,-0.104,-1.441,100,1.465,0.683,0.935
971,193,49377.528,14481.066,21234,65535,1397.868,1984.272,1397.995,1984.439,52.912,1388,1978,20,13,20.642,11.904,176.340,0.866,52863,-0.502,-1.168,100,1.734,0.577,0.948
972,151,60936.616,7510.541,32589,65535,1039.765,1986.639,1039.803,1986.730,48.000,1030,1982,19,10,19.938,9.643,8.018,0.824,65116,-1.775,2.153,100,2.068,0.484,0.962
973,186,51023.548,14439.914,19148,65535,1460.323,1987.333,1460.662,1987.500,55.517,1449,1982,22,10,23.652,10.013,179.563,0.758,55517,-0.601,-1.034,100,2.362,0.423,0.951
974,193,50811.684,14328.128,19858,65535,1432.972,1987.521,1433.154,1987.715,57.248,1421,1983,24,9,25.165,9.765,178.009,0.740,55617,-0.622,-0.967,100,2.577,0.388,0.980
975,257,53939.988,10718.572,24928,65535,1103.418,1992.959,1103.614,1993.083,59.231,1093,1985,21,16,22.822,14.338,25.506,0.921,57915,-0.879,-0.234,100,1.592,0.628,0.979
976,91,56693.330,10741.800,30398,65535,1237.929,1991.093,1238.042,1991.159,40.682,1231,1986,15,11,17.387,6.664,29.768,0.691,60910,-1.108,-0.076,100,2.609,0.383,0.847
977,278,49932.899,14717.899,18810,65535,1692.576,1994.590,1692.763,1994.728,66.364,1679,1987,26,15,27.714,12.772,162.927,0.793,55490,-0.553,-1.119,100,2.170,0.461,0.946
