 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Median,Skew,Kurt,%Area,AR,Round,Solidity
1,150,59992.500,8645.197,30976,65535,1823.860,6.900,1824.058,6.929,45.844,1816,1,16,13,17.161,11.129,34.346,0.897,64807,-1.728,2.120,100,1.542,0.648,0.980
2,133,48263.805,10019.905,29226,64376,2020.492,5.620,2020.364,5.869,44.190,2012,1,17,10,17.541,9.654,16.415,0.856,49036,-0.224,-1.203,100,1.817,0.550,0.982
3,215,56499.005,8925.363,28381,65532,1696.379,12.635,1696.348,12.864,55.137,1686,5,20,15,21.750,12.586,22.192,0.889,59428,-1.173,0.657,100,1.728,0.579,0.962
4,227,57537.819,11184.994,26309,65535,1624.218,18.134,1624.354,18.313,57.008,1614,10,20,16,22.799,12.677,30.650,0.878,64467,-1.240,0.235,100,1.798,0.556,0.968
5,343,38192.038,10172.368,21197,63206,2278.267,28.054,2278.619,27.834,67.211,2266,17,23,22,23.374,18.684,35.085,0.954,36843,0.396,-0.762,100,1.251,0.799,0.966
6,110,47407.309,14189.248,23293,65535,1560.964,31.300,1561.087,31.536,38.339,1554,26,14,11,14.736,9.505,21.853,0.940,48783,-0.130,-1.443,100,1.550,0.645,0.965
7,232,51164.776,13330.623,23499,65535,2081.957,33.849,2081.631,33.954,56.485,2071,27,21,14,21.726,13.596,13.793,0.914,55472,-0.666,-0.940,100,1.598,0.626,0.971
8,196,57949.561,10218.041,28947,65535,1534.276,36.638,1534.308,36.810,52.589,1525,28,18,17,20.609,12.109,39.796,0.891,63859,-1.211,0.247,100,1.702,0.588,0.956
9,80,47892.613,13456.660,25514,65535,1586.425,38.538,1586.505,38.764,31.775,1581,34,11,9,11.183,9.109,155.999,0.996,48912,-0.111,-1.429,100,1.228,0.815,0.988
10,45,44181.867,14820.878,22644,65533,1681.122,37.211,1681.574,37.296,24.409,1677,34,8,7,8.576,6.681,26.025,0.949,41893,-0.007,-1.461,100,1.284,0.779,0.928
