 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Median,Skew,Kurt,%Area,AR,Round,Solidity
1,185,57851.476,7232.868,38425,65533,1696.738,12.268,1696.771,12.358,51.082,1687,6,19,13,20.354,11.572,20.942,0.891,60184,-0.913,-0.245,100,1.759,0.569,0.976
2,185,53942.427,12866.070,25997,65535,1623.214,18.608,1623.281,18.846,52.001,1614,11,18,15,21.245,11.087,34.468,0.860,59794,-0.764,-0.874,100,1.916,0.522,0.969
3,143,54461.643,11589.100,28990,65535,1561.010,31.913,1561.093,32.038,48.049,1551,26,19,12,20.699,8.796,20.432,0.778,60062,-0.707,-0.855,100,2.353,0.425,0.935
4,234,59465.410,9474.553,31359,65535,1533.620,37.000,1533.796,37.043,58.059,1523,28,20,17,23.008,12.949,36.250,0.872,65332,-1.476,0.921,100,1.777,0.563,0.969
5,103,49028.515,13375.073,24311,65535,1586.617,38.500,1586.709,38.695,38.630,1579,34,14,10,15.096,8.687,159.317,0.867,50256,-0.259,-1.334,100,1.738,0.575,0.958
6,215,53346.447,8490.194,28619,65506,1810.640,49.584,1810.798,49.656,53.565,1801,42,19,15,20.258,13.513,24.634,0.942,55547,-0.671,-0.305,100,1.499,0.667,0.968
7,155,54137.929,9219.268,30741,65516,1838.919,49.042,1838.751,49.245,45.009,1831,42,15,14,15.978,12.351,33.291,0.961,56774,-0.786,-0.394,100,1.294,0.773,0.957
8,95,49885.853,13006.784,27175,65535,1497.753,55.068,1497.847,55.187,36.354,1491,50,13,11,14.232,8.499,35.108,0.903,51101,-0.268,-1.384,100,1.675,0.597,0.955
9,149,54162.396,11950.376,28194,65535,1555.218,60.963,1555.270,61.184,49.607,1548,52,16,15,17.039,11.134,140.817,0.761,59096,-0.688,-0.952,100,1.530,0.653,0.869
10,222,58944.874,9558.332,30431,65535,1475.739,65.059,1475.862,65.136,57.707,1466,57,20,17,23.680,11.937,35.138,0.838,64715,-1.376,0.668,100,1.984,0.504,0.969
11,278,50230.205,9687.333,25900,65535,1676.165,69.827,1676.422,69.694,64.375,1664,62,24,16,26.272,13.473,22.419,0.843,50596,-0.317,-0.634,100,1.950,0.513,0.965
12,296,54323.392,10360.423,26255,65535,1632.169,71.814,1632.166,72.124,63.198,1621,64,23,17,23.123,16.299,5.711,0.931,57087,-0.930,-0.103,100,1.419,0.705,0.966
13,223,58935.354,9167.936,32016,65535,1441.428,82.742,1441.525,82.841,56.197,1430,76,22,13,22.260,12.755,10.932,0.887,63995,-1.349,0.627,100,1.745,0.573,0.965
14,117,49714.923,14254.863,23806,65535,1609.782,89.338,1609.834,89.552,38.681,1603,83,13,12,12.977,11.480,28.484,0.983,52308,-0.318,-1.396,100,1.130,0.885,0.963
15,186,61335.602,7262.407,37096,65535,1357.253,95.247,1357.261,95.387,51.340,1347,89,20,12,20.530,11.536,8.312,0.887,65361,-1.887,2.512,100,1.780,0.562,0.969
16,181,63038.724,4858.346,44239,65535,1326.483,97.307,1326.607,97.360,50.509,1317,91,18,13,18.483,12.469,19.240,0.892,65454,-2.375,4.966,100,1.482,0.675,0.950
17,226,60057.827,8501.407,32589,65535,1410.133,97.372,1409.994,97.537,62.706,1396,91,27,12,26.676,10.787,7.700,0.722,65042,-1.571,1.296,100,2.473,0.404,0.928
18,206,52783.704,13567.917,24436,65535,1647.083,101.476,1647.223,101.704,51.547,1639,93,16,17,17.504,14.985,65.185,0.974,58769,-0.597,-1.172,100,1.168,0.856,0.965
19,44,61685.955,6613.221,40413,65535,1337.614,99.750,1337.537,99.847,24.053,1333,96,9,7,8.615,6.503,31.460,0.956,65332,-1.964,2.969,100,1.325,0.755,0.967
20,205,61132.673,7026.702,35710,65535,1281.641,104.349,1281.732,104.421,54.270,1271,97,20,15,21.676,12.042,28.933,0.875,65147,-1.743,2.216,100,1.800,0.556,0.965
21,130,60247.454,8075.998,34940,65535,1370.723,104.162,1370.731,104.312,41.689,1363,98,15,12,15.560,10.638,14.313,0.940,64995,-1.587,1.481,100,1.463,0.684,0.963
22,155,60342.523,6702.818,34759,65535,1952.287,114.429,1952.318,114.554,46.461,1944,107,16,14,18.223,10.830,34.572,0.902,63600,-1.525,1.652,100,1.683,0.594,0.969
23,252,58417.726,9589.436,29537,65535,489.345,116.306,489.524,116.471,60.720,477,109,24,15,24.254,13.229,164.404,0.859,63960,-1.281,0.504,100,1.833,0.545,0.955
24,127,54841.008,12542.726,25008,65535,1532.894,115.980,1533.072,116.138,40.392,1526,110,13,12,14.046,11.512,35.542,0.978,61286,-0.872,-0.630,100,1.220,0.820,0.973
25,214,57718.430,9070.453,26506,65535,1469.159,118.505,1469.365,118.639,54.326,1459,112,20,14,20.877,13.052,14.879,0.911,61264,-1.353,1.047,100,1.600,0.625,0.971
26,127,54119.496,11400.992,28095,65535,1679.563,119.697,1679.613,119.859,41.984,1673,112,13,14,14.012,11.540,115.521,0.905,57940,-0.749,-0.693,100,1.214,0.824,0.934
27,146,53122.603,11542.093,28883,65535,1294.192,118.308,1294.302,118.448,54.515,1282,114,24,9,24.712,7.522,6.261,0.617,55779,-0.556,-1.022,100,3.285,0.304,0.904
28,301,60571.223,8189.678,29578,65535,537.902,125.925,538.063,126.090,62.364,527,117,21,18,21.596,17.746,6.215,0.973,65037,-1.868,2.699,100,1.217,0.822,0.974
29,53,53579.453,11069.143,32251,65535,1367.387,121.425,1367.476,121.488,25.688,1363,118,9,7,9.544,7.070,20.044,1.000,56313,-0.398,-1.328,100,1.350,0.741,1.000
30,191,58857.942,10353.542,28108,65535,1339.395,129.160,1339.652,129.377,51.032,1330,122,18,15,18.441,13.187,166.783,0.922,65090,-1.476,0.915,100,1.398,0.715,0.948
31,316,60029.709,8526.636,32275,65535,560.082,136.665,560.260,136.780,63.481,550,126,20,21,20.833,19.313,56.892,0.985,64851,-1.587,1.375,100,1.079,0.927,0.978
32,278,59393.277,9351.212,29783,65535,391.590,137.579,391.688,137.759,60.686,381,129,21,18,21.674,16.331,27.181,0.949,65139,-1.445,0.853,100,1.327,0.754,0.964
