 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Median,Skew,Kurt,%Area,AR,Round,Solidity
1,205,56977.005,11122.964,28468,65535,211.412,73.871,211.530,73.921,51.908,202,67,18,14,18.846,13.850,13.432,0.956,63542,-1.069,-0.229,100,1.361,0.735,0.976
2,309,61962.081,7214.041,29428,65535,345.380,81.351,345.376,81.561,62.914,335,72,20,19,20.678,19.027,14.092,0.981,65527,-2.463,5.651,100,1.087,0.920,0.981
3,336,58624.476,10125.111,24055,65535,166.051,82.068,166.421,82.141,68.393,153,73,25,17,25.895,16.521,13.373,0.903,64602,-1.561,1.503,100,1.567,0.638,0.971
4,259,60595.514,8326.615,32287,65535,321.566,81.956,321.693,82.040,58.756,311,73,20,17,20.465,16.114,19.181,0.943,65474,-1.731,1.921,100,1.270,0.787,0.966
5,198,59299.556,8952.104,34491,65535,365.596,86.116,365.666,86.131,50.654,357,79,17,15,18.039,13.976,26.398,0.970,64943,-1.300,0.354,100,1.291,0.775,0.985
6,320,61845.528,7378.365,33172,65535,401.681,92.972,401.899,93.051,64.197,391,84,21,18,22.007,18.514,15.545,0.976,65534,-2.261,4.256,100,1.189,0.841,0.985
7,297,60616.343,8151.233,30694,65535,440.160,98.439,440.276,98.533,64.019,428,91,23,15,24.057,15.719,4.991,0.911,65296,-1.806,2.416,100,1.530,0.653,0.974
8,226,59877.053,9302.881,30142,65535,231.881,105.889,231.766,106.117,55.395,221,99,20,15,18.865,15.254,170.510,0.925,65496,-1.625,1.428,100,1.237,0.809,0.968
9,383,60843.509,8433.573,29686,65535,331.503,107.866,331.692,108.028,72.127,319,99,26,18,26.592,18.338,176.077,0.925,65423,-1.997,3.058,100,1.450,0.690,0.977
10,329,59680.924,9711.570,28711,65535,216.412,113.035,216.692,113.126,66.403,206,102,21,22,23.024,18.194,118.469,0.938,65148,-1.716,1.752,100,1.266,0.790,0.968
11,256,60027.398,8975.228,30899,65535,490.961,115.820,491.062,115.974,59.684,479,108,23,15,22.720,14.346,175.904,0.903,65427,-1.650,1.601,100,1.584,0.631,0.961
12,179,57024.067,10971.421,27789,65535,321.679,123.478,321.902,123.398,48.529,314,115,15,16,16.247,14.028,47.847,0.955,63332,-1.095,-0.141,100,1.158,0.863,0.965
13,358,61373.827,7533.128,33791,65535,540.813,125.087,540.950,125.241,67.575,529,115,23,20,23.118,19.717,8.381,0.985,65217,-2.125,3.602,100,1.172,0.853,0.981
14,336,62123.399,6296.058,34495,65535,562.836,135.869,562.886,136.002,65.332,553,125,20,21,21.484,19.913,73.562,0.989,65415,-2.274,4.720,100,1.079,0.927,0.984
15,246,51361.386,13265.470,22588,65535,288.874,134.524,288.861,134.795,77.930,272,127,34,15,37.113,8.439,16.295,0.509,55843,-0.608,-0.950,100,4.398,0.227,0.896
16,323,58786.743,9923.769,27974,65535,394.110,137.977,394.218,138.012,65.760,383,128,22,20,22.702,18.115,23.092,0.939,64780,-1.381,0.627,100,1.253,0.798,0.950
17,331,61682.450,7596.021,33826,65535,586.361,149.147,586.454,149.336,66.624,574,140,24,18,24.060,17.516,165.463,0.937,65499,-2.203,3.891,100,1.374,0.728,0.974
