 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Median,Skew,Kurt,%Area,AR,Round,Solidity
1,191,54851.958,12254.759,18116,65535,1826.217,6.427,1826.626,6.585,52.748,1817,0,19,14,20.902,11.635,28.543,0.863,59352,-1.380,0.977,100,1.797,0.557,0.977
2,187,26038.080,8468.267,16617,62741,2021.158,6.345,2022.166,6.409,52.732,2011,1,21,11,21.699,10.973,9.450,0.845,23948,2.253,5.316,100,1.978,0.506,0.977
3,192,44802.339,10604.986,24263,65509,1697.146,14.510,1697.450,14.501,52.244,1687,8,20,13,20.991,11.646,19.686,0.884,43085,0.205,-0.893,100,1.802,0.555,0.977
4,191,58336.408,10998.751,21074,65535,1625.154,19.935,1625.225,20.177,53.828,1615,12,19,15,21.946,11.081,35.085,0.828,64609,-1.595,1.434,100,1.980,0.505,0.974
5,246,39028.785,10420.827,20988,65474,2082.752,34.207,2082.656,34.035,56.885,2072,26,20,16,20.349,15.392,17.673,0.955,38659,0.538,-0.262,100,1.322,0.756,0.965
6,77,54691.675,13873.850,21095,65535,1535.955,35.682,1536.051,35.961,31.704,1530,31,11,9,11.394,8.604,32.344,0.963,62991,-1.056,-0.290,100,1.324,0.755,0.963
7,49,51006.082,15160.583,19085,65535,1682.398,38.663,1682.560,38.975,24.757,1678,35,9,7,8.611,7.245,1.843,1.000,56124,-0.751,-0.771,100,1.188,0.841,0.961
8,118,47596.432,15247.289,19192,65508,2114.695,46.975,2115.000,47.155,42.002,2107,41,14,13,16.431,9.144,134.902,0.841,49267,-0.362,-1.294,100,1.797,0.556,0.952
9,259,36502.776,9984.026,17534,64091,1811.025,52.523,1811.285,52.591,59.716,1800,44,21,17,22.634,14.570,26.504,0.913,35998,0.272,-0.441,100,1.553,0.644,0.954
10,123,53696.431,14108.668,21316,65535,1839.972,51.012,1840.101,51.276,39.853,1833,45,13,12,13.838,11.317,37.612,0.973,61903,-0.890,-0.656,100,1.223,0.818,0.972
11,264,21917.367,6403.012,12501,40692,2011.504,53.898,2011.519,53.352,58.736,2001,46,20,16,20.837,16.131,12.484,0.962,21172,0.708,-0.217,100,1.292,0.774,0.978
12,139,58506.331,10647.203,29052,65535,1498.428,55.399,1498.444,55.606,47.849,1489,49,18,13,19.892,8.897,37.287,0.763,64953,-1.445,0.699,100,2.236,0.447,0.946
13,116,47297.405,17940.209,14602,65535,1553.776,60.871,1554.097,61.260,42.690,1548,53,13,14,15.635,9.446,128.612,0.800,54307,-0.471,-1.342,100,1.655,0.604,0.903
14,199,57584.608,10665.085,22486,65535,1477.666,64.822,1477.735,65.022,56.803,1467,57,21,16,24.071,10.526,34.236,0.775,63094,-1.463,1.135,100,2.287,0.437,0.961
15,54,51513.481,15056.396,19676,65535,1567.444,61.426,1567.161,61.737,30.031,1561,58,12,6,13.081,5.256,12.883,0.752,60076,-0.729,-0.965,100,2.489,0.402,0.939
16,152,42340.224,8536.103,20997,62272,1676.020,72.421,1676.134,72.507,48.042,1666,66,19,12,20.022,9.666,21.808,0.828,41953,-0.156,-0.470,100,2.071,0.483,0.947
17,236,48075.381,11748.575,23185,65247,1633.229,73.924,1633.308,74.202,56.131,1623,67,20,14,20.716,14.505,3.715,0.941,49631,-0.313,-1.068,100,1.428,0.700,0.971
18,240,48719.554,10511.435,21274,64924,320.658,83.304,321.151,83.470,57.740,309,76,22,14,22.112,13.820,1.501,0.905,50077,-0.618,-0.426,100,1.600,0.625,0.968
19,255,48390.796,11198.113,18256,65219,343.582,83.833,343.974,84.160,57.565,333,76,20,16,20.142,16.120,1.025,0.967,50713,-0.664,-0.316,100,1.250,0.800,0.975
20,121,57107.653,12557.749,23129,65535,1442.723,81.583,1442.871,81.855,41.713,1434,76,16,10,15.946,9.662,11.006,0.874,63469,-1.540,1.104,100,1.650,0.606,0.957
21,258,40342.531,11028.670,20558,64786,1877.969,84.787,1877.965,84.892,58.443,1867,77,21,16,21.254,15.455,5.719,0.949,40534,0.174,-0.829,100,1.375,0.727,0.970
22,164,45161.805,9989.016,23266,64532,165.500,85.189,165.864,85.351,46.432,157,79,17,12,17.191,12.146,4.852,0.956,45549,-0.080,-0.725,100,1.415,0.707,0.973
23,27,41556.630,13005.905,17352,62758,263.352,82.981,263.522,83.119,19.662,259,81,8,4,8.072,4.259,172.238,0.878,40464,-0.015,-0.987,100,1.895,0.528,0.982
24,163,56506.301,13785.363,16848,65535,362.169,88.684,362.444,89.059,45.955,354,82,16,13,16.194,12.816,5.739,0.970,64668,-1.466,0.810,100,1.264,0.791,0.967
